,url,segment_no,cumle_icerigi,sözcük_sayisi
0,https://www.sondakika.com/haber/haber-joe-biden-cinsel-taciz-iddialari-abd-de-baskanlik-13200760/,0," Amerika Birleşik Devletlerinde 3 Kasımda yapılacak başkanlık seçimlerinde Donald Trumpın rakibi olmasına kesin gözüyle bakılan Joe Bidenı 27 yıl önce kendisine cinsel tacizde bulunmakla suçlayan Tara Reade, eski başkan yardımcısının seçim yarışından çekilmesini istedi.",35
1,https://www.sondakika.com/haber/haber-joe-biden-cinsel-taciz-iddialari-abd-de-baskanlik-13200760/,1,"Tara Reade verdiği bir mülakatta Bidena hitaben ""Amerika Birleşik Devletleri başkanlığına karakteriniz nedeniyle aday olmamalısınız.",15
2,https://www.sondakika.com/haber/haber-joe-biden-cinsel-taciz-iddialari-abd-de-baskanlik-13200760/,2,"Lütfen öne çıkın ve hesap verin"" dedi.",7
3,https://www.sondakika.com/haber/haber-joe-biden-cinsel-taciz-iddialari-abd-de-baskanlik-13200760/,3,Demokrat Partinin başkan adayı olacak eski Başkan Yardımcısı Biden ise Readein suçlamalarını reddediyor.,13
4,https://www.sondakika.com/haber/haber-joe-biden-cinsel-taciz-iddialari-abd-de-baskanlik-13200760/,4,"1992-1993 yılları arasında Delaware Senatörü olduğu dönemde Joe Bidenın ofisinde idari sekreter olarak çalışan Tara Reade, Bidenla ilgili suçlamalarını geçtiğimiz hafta dile getirdi.",23
5,https://www.sondakika.com/haber/haber-joe-biden-cinsel-taciz-iddialari-abd-de-baskanlik-13200760/,5,"Son olarak Amerikan medyasında ünlü bir ekran yüzü olan eski Fox ve NBC sunucularından, serbest gazeteci Megyn Kellyye konuşan Reade, iddialarını iyice detaylandırdı ve şunları söyledi: ""Bir eli gömleğimin altındayken diğer elini -o gün etek giymiştim- eteğimin altına götürdü ve giderek yukarı çıkarmaya başladı.",44
6,https://www.sondakika.com/haber/haber-joe-biden-cinsel-taciz-iddialari-abd-de-baskanlik-13200760/,6,Parmak ucuma yükseldiğimi hatırlıyorum.,4
7,https://www.sondakika.com/haber/haber-joe-biden-cinsel-taciz-iddialari-abd-de-baskanlik-13200760/,7,"Eli eteğimin altındayken aynı zamanda benimle konuşuyor, üzerine eğiliyordu.",9
8,https://www.sondakika.com/haber/haber-joe-biden-cinsel-taciz-iddialari-abd-de-baskanlik-13200760/,8,Şöyle başımı ondan uzağa doğru çektim.,6
9,https://www.sondakika.com/haber/haber-joe-biden-cinsel-taciz-iddialari-abd-de-baskanlik-13200760/,9,"""Reade, Bidenın bunun üzerine ona bakıp ""Hey, ne oluyor?",9
10,https://www.sondakika.com/haber/haber-joe-biden-cinsel-taciz-iddialari-abd-de-baskanlik-13200760/,10,"Beni beğendiğini duymuştum"" dediğini ve sonra parmağını ona doğrultarak ""Benim için hiç bir şeysin sen, hiç bir şey"" dediğini de ekledi.",21
11,https://www.sondakika.com/haber/haber-joe-biden-cinsel-taciz-iddialari-abd-de-baskanlik-13200760/,11,"Tara Reade gazeteci Megyn Kellynin, ""Bidenın başkanlık adaylığından çekilmesi gerektiğini düşünüyor musunuz?""",12
12,https://www.sondakika.com/haber/haber-joe-biden-cinsel-taciz-iddialari-abd-de-baskanlik-13200760/,12,"sorusu üzerine ""Keşke çekilse, ama çekilmez.",6
13,https://www.sondakika.com/haber/haber-joe-biden-cinsel-taciz-iddialari-abd-de-baskanlik-13200760/,13,Çekilmesini isterim.,2
